"search-number","evaluation","evals-requested-so-far","power-plants*","birth-rate*","polluting-rate*","planting-rate*","initial-population*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","146","160","16","0.1","5","0.02","10","""-2141462638""","4750","4750","4750","0","4750"
"1","147","160","16","0.1","5","0.02","10","""698023484""","5635","5635","5635","0","5635"
"1","148","160","16","0.1","5","0.02","10","""-1987348833""","4068","4068","4068","0","4068"
"1","149","160","16","0.1","5","0.02","10","""-1543008619""","1082","1082","1082","0","1082"
"1","150","160","16","0.1","5","0.02","10","""-427650316""","2092","2092","2092","0","2092"
"1","151","160","20","0.09","5","0.04","40","""668427266""","3866","3866","3866","0","3866"
"1","152","160","20","0.09","5","0.04","40","""411997486""","2830","2830","2830","0","2830"
"1","153","160","20","0.09","5","0.04","40","""-1809672253""","6344","6344","6344","0","6344"
"1","154","160","20","0.09","5","0.04","40","""1114938320""","2621","2621","2621","0","2621"
"1","155","160","20","0.09","5","0.04","40","""-22921155""","5244","5244","5244","0","5244"
"1","156","160","20","0.09","5","0.04","40","""1067688925""","13743","13743","13743","0","13743"
"1","157","160","20","0.09","5","0.04","40","""2072426390""","4988","4988","4988","0","4988"
"1","158","160","20","0.09","5","0.04","40","""1011698513""","5749","5749","5749","0","5749"
"1","159","160","20","0.09","5","0.04","40","""197767979""","1737","1737","1737","0","1737"
"1","160","160","20","0.09","5","0.04","40","""48568608""","8795","8795","8795","0","8795"
"1","161","170","5","0.02","5","0.06","30","""1403838798""","0","0","0","0","0"
"1","162","170","5","0.02","5","0.06","30","""1964723636""","0","0","0","0","0"
"1","163","170","5","0.02","5","0.06","30","""-1747681219""","0","0","0","0","0"
"1","164","170","5","0.02","5","0.06","30","""1107329975""","0","0","0","0","0"
"1","165","170","5","0.02","5","0.06","30","""1293568291""","0","0","0","0","0"
"1","166","170","5","0.02","5","0.06","30","""-1299500048""","0","0","0","0","0"
"1","167","170","5","0.02","5","0.06","30","""-1515283415""","0","0","0","0","0"
"1","168","170","5","0.02","5","0.06","30","""-489385312""","0","0","0","0","0"
"1","169","170","5","0.02","5","0.06","30","""-1174733287""","0","0","0","0","0"
"1","170","170","5","0.02","5","0.06","30","""-910409827""","0","0","0","0","0"
"1","171","180","7","0.09","5","0","70","""31028852""","1200","1200","1200","0","1200"
"1","172","180","7","0.09","5","0","70","""-1528174617""","1539","1539","1539","0","1539"
"1","173","180","7","0.09","5","0","70","""-658149765""","1463","1463","1463","0","1463"
"1","174","180","7","0.09","5","0","70","""215216898""","2431","2431","2431","0","2431"
"1","175","180","7","0.09","5","0","70","""1832681669""","1553","1553","1553","0","1553"
"1","176","180","7","0.09","5","0","70","""-1793744547""","1443","1443","1443","0","1443"
"1","177","180","7","0.09","5","0","70","""1273121151""","1339","1339","1339","0","1339"
"1","178","180","7","0.09","5","0","70","""-2045431899""","391","391","391","0","391"
"1","179","180","7","0.09","5","0","70","""-1205561255""","2871","2871","2871","0","2871"
"1","180","180","7","0.09","5","0","70","""1055849886""","3283","3283","3283","0","3283"
"1","181","190","6","0.05","5","0.04","80","""-1795611829""","1","1","1","0","1"
"1","182","190","6","0.05","5","0.04","80","""1971297540""","7","7","7","0","7"
"1","183","190","6","0.05","5","0.04","80","""-1076677406""","0","0","0","0","0"
"1","184","190","6","0.05","5","0.04","80","""-426548556""","3","3","3","0","3"
"1","185","190","6","0.05","5","0.04","80","""600418717""","9","9","9","0","9"
"1","186","190","6","0.05","5","0.04","80","""881270108""","6","6","6","0","6"
"1","187","190","6","0.05","5","0.04","80","""1332008695""","1","1","1","0","1"
"1","188","190","6","0.05","5","0.04","80","""388664984""","0","0","0","0","0"
"1","189","190","6","0.05","5","0.04","80","""1649255501""","8","8","8","0","8"
"1","190","190","6","0.05","5","0.04","80","""1846285965""","0","0","0","0","0"
"1","191","200","10","0.06","5","0.09","70","""-1541659120""","45","45","45","0","45"
"1","192","200","10","0.06","5","0.09","70","""550579560""","18","18","18","0","18"
"1","193","200","10","0.06","5","0.09","70","""-1677712506""","13","13","13","0","13"
"1","194","200","10","0.06","5","0.09","70","""-1637810876""","112","112","112","0","112"
"1","195","200","10","0.06","5","0.09","70","""-807824376""","24","24","24","0","24"
"1","196","200","10","0.06","5","0.09","70","""2147037594""","123","123","123","0","123"
"1","197","200","10","0.06","5","0.09","70","""-101609352""","54","54","54","0","54"
"1","198","200","10","0.06","5","0.09","70","""-1626464840""","83","83","83","0","83"
"1","199","200","10","0.06","5","0.09","70","""860346684""","20","20","20","0","20"
"1","200","200","10","0.06","5","0.09","70","""-1642115204""","53","53","53","0","53"
